id,name,category
1104457234,Св. Петка,place_of_worship
1105065787,Св. Кирил и Методиј,place_of_worship
1107385187,Св. Атанасиј Велики,place_of_worship
1107965431,Св. Јован Крстител,place_of_worship
1111874740,Св. Димитриј,place_of_worship
1112148585,Свети Апостол и евангелист Лука,place_of_worship
1112331820,Св. Три Светители,place_of_worship
1112340724,Св. Архангел Гаврил,place_of_worship
1112340725,Xhamija e Deshmoreve Hasanbeg,place_of_worship
1113420643,Св. Петка,place_of_worship
1113420645,Св. Никола,place_of_worship
1113420648,Св. Јован Крстител,place_of_worship
1116910799,Св. Константин и Св. Елена,place_of_worship
1116910800,Св. Ана,place_of_worship
1116910801,Св. Наум Охридски,place_of_worship
1116910804,Св. 40. Севастиски маченици,place_of_worship
1116910805,Св. Злата Мегленска,place_of_worship
1120178041,Св. Петка,place_of_worship
1120848863,Св. Никола,place_of_worship
1128028419,Св. Георгиј,place_of_worship
1128459981,Орта џамија,place_of_worship
1128459982,Св. Кирил и Методиј,place_of_worship
1128464193,Св. Ѓорѓи,place_of_worship
1128464195,Хаџимуратова џамија,place_of_worship
1128464196,Хаџирамаданова џамија,place_of_worship
1132275180,Св. Јован Крстител,place_of_worship
1132275184,Св. Константин и Св. Елена,place_of_worship
1133090024,Црква „Св. Архангел Михаил“,place_of_worship
1134050910,Св. Архангел Гаврил,place_of_worship
1134050932,Св. Александар Солунски,place_of_worship
1134050938,Св. Лидија Македонска,place_of_worship
1134050939,Св. Никола,place_of_worship
1135406567,Црква Св. Никола,place_of_worship
1135929808,Црква Св. Теодор Тирон,place_of_worship
1136555788,Св. Атанасиј Велики,place_of_worship
1136815827,Св. Кирил и Методиј,place_of_worship
1137300477,Св. Спас,place_of_worship
1137649645,Св. Никола,place_of_worship
1137649646,Св. Константин и Елена,place_of_worship
1138365522,Св. Илија,place_of_worship
1138384217,Св. Никола,place_of_worship
1147134310,Успение на Пресвета Богородица,place_of_worship
1156168612,Света Троица,place_of_worship
1159596481,"Църква ""Св. Анна""",place_of_worship
1180168851,"Ekklisia Pedinou, Kimisis Theotokou",place_of_worship
1212048120,Црква „Преображение“,place_of_worship
